EPI_ISL_1111|Human|H5N1|1997|Asia|,1997,-469.8,47.6572958500669,1494,1494,46.7871485943775,48.0923694779116
EPI_ISL_1193|Human|H5N1|1997|Asia|,1997,-461.1,47.3895582329317,1494,1494,46.1847389558233,47.9919678714859
EPI_ISL_1195|Human|H5N1|1997|Asia|,1997,-458.1,47.3226238286479,1494,1494,45.9839357429719,47.9919678714859
EPI_ISL_1189|Human|H5N1|1998|Asia|,1998,-461.9,47.5903614457831,1494,1494,46.7871485943775,47.9919678714859
EPI_ISL_1190|Human|H5N1|1997|Asia|,1997,-460.2,47.3226238286479,1494,1494,45.9839357429719,47.9919678714859
EPI_ISL_1112|Human|H5N1|1997|Asia|,1997,-460.4,47.4564926372155,1494,1494,46.3855421686747,47.9919678714859
EPI_ISL_964|Human|H5N1|1997|Asia|,1997,-465.8,47.7911646586345,1494,1494,47.5903614457831,47.8915662650602
EPI_ISL_963|Human|H5N1|1997|Asia|,1997,-462.6,47.4564926372155,1494,1494,45.7831325301205,48.2931726907631
EPI_ISL_965|Human|H5N1|1997|Asia|,1997,-460.4,47.4564926372155,1494,1494,46.3855421686747,47.9919678714859
EPI_ISL_954|Human|H5N1|1997|Asia|,1997,-458.8,47.5234270414993,1494,1494,46.7871485943775,47.8915662650602
EPI_ISL_268|Human|H5N1|2003|Asia|,2003,-469.3,47.8580990629183,1494,1494,47.5903614457831,47.9919678714859
EPI_ISL_3842|Human|H5N1|2003|Asia|,2003,-473.5,47.9919678714859,1494,1494,47.9919678714859,47.9919678714859
EPI_ISL_3837|Human|H5N1|2004|Asia|,2004,-469,48.0589022757697,1494,1494,47.9919678714859,48.0923694779116
EPI_ISL_3836|Human|H5N1|2004|Asia|,2004,-468.5,47.9250334672021,1494,1494,47.5903614457831,48.0923694779116
EPI_ISL_4158|Human|H5N1|2004|Asia|,2004,-461.2,48.4110885733604,1479,1479,48.4787018255578,48.3772819472617
