from	to	mean	stderr of mean	stdev	variance	median	value range	geometric mean	95% HPD interval	auto-correlation time (ACT)	effective sample size (ESS)	number of samples
Austria	Belgium	1.0373	0.095	1.0217	1.0438	0.7571	"[3.2215E-3, 6.1642]"	0.5588	"[5.7601E-3, 3.3078]"	3.07E+05	115.6	3550
Austria	Czech_Republic	0.9347	0.0763	0.9278	0.8607	0.683	"[1.6455E-3, 10.4435]"	0.5087	"[3.8029E-3, 2.7581]"	2.40E+05	148	3550
Austria	Denmark	1.086	0.1183	1.1299	1.2766	0.7435	"[1.9764E-3, 8.7578]"	0.5731	"[1.9764E-3, 3.3921]"	3.89E+05	91.2	3550
Austria	England	1.0262	0.1034	1.0286	1.058	0.672	"[2.9696E-3, 9.7583]"	0.6099	"[0.0248, 3.2321]"	3.59E+05	98.9	3550
Austria	Finland	0.9172	0.069	0.8925	0.7965	0.6908	"[4.1591E-3, 6.6172]"	0.5278	"[5.6655E-3, 2.6486]"	2.12E+05	167.4	3550
Austria	France	1.1363	0.1032	1.0894	1.1869	0.8062	"[1.1442E-3, 7.5855]"	0.5979	"[1.1442E-3, 3.4853]"	3.18E+05	111.5	3550
Austria	Gambia	1.0547	0.1018	1.0705	1.1459	0.6868	"[2.7187E-3, 10.5467]"	0.5642	"[2.7187E-3, 3.1197]"	3.21E+05	110.6	3550
Austria	Germany	1.0421	0.079	0.9888	0.9778	0.7329	"[1.0851E-3, 6.2231]"	0.5636	"[1.0851E-3, 3.1663]"	2.26E+05	156.7	3550
Austria	Isle_of_Man	0.9635	0.0777	0.9454	0.8938	0.6798	"[9.3338E-4, 6.9417]"	0.5605	"[9.3338E-4, 2.8059]"	2.40E+05	148.2	3550
Austria	Italy	0.8206	0.0606	0.7859	0.6176	0.6239	"[2.5285E-3, 6.927]"	0.485	"[2.5285E-3, 2.235]"	2.11E+05	168.1	3550
Austria	Jersey	0.9082	0.0698	0.9421	0.8876	0.5779	"[4.6932E-3, 7.818]"	0.5085	"[4.6932E-3, 2.7408]"	1.95E+05	182.1	3550
Austria	Leningrad_region	0.9932	0.0944	0.9798	0.96	0.7152	"[7.2751E-3, 8.1974]"	0.5935	"[7.2751E-3, 2.9396]"	3.29E+05	107.8	3550
Austria	Luxembourg	1.1403	0.0851	1.1481	1.3181	0.7709	"[7.9833E-3, 8.7265]"	0.6851	"[7.9833E-3, 3.3513]"	1.95E+05	181.8	3550
Austria	Netherlands	1.1339	0.1028	1.1223	1.2594	0.813	"[1.2744E-4, 7.7725]"	0.5408	"[1.2744E-4, 3.4797]"	2.98E+05	119.1	3550
Austria	Poland	0.9791	0.06	0.8609	0.7411	0.7375	"[5.9244E-3, 7.4398]"	0.6302	"[5.9244E-3, 2.7044]"	1.72E+05	205.9	3550
Austria	Scotland	1.0004	0.0611	0.9059	0.8207	0.7697	"[5.1029E-3, 6.5014]"	0.6057	"[7.1494E-3, 2.7496]"	1.61E+05	219.8	3550
Austria	Spain	0.9849	0.081	0.9469	0.8967	0.7048	"[9.5296E-4, 7.5146]"	0.5873	"[9.5296E-4, 2.8367]"	2.60E+05	136.6	3550
Austria	Wales	1.0216	0.0705	0.9444	0.8918	0.7027	"[0.0103, 8.136]"	0.6363	"[0.0177, 2.9097]"	1.98E+05	179.3	3550
Belgium	Czech_Republic	3.3705	0.0612	1.1091	1.2302	3.2739	"[0.9278, 8.8472]"	3.1919	"[1.3887, 5.4552]"	1.08E+05	328.6	3550
Belgium	Denmark	0.9066	0.0615	0.8868	0.7865	0.573	"[5.4636E-3, 6.837]"	0.5384	"[5.4636E-3, 2.5695]"	1.71E+05	207.9	3550
Belgium	England	1.7711	0.0692	0.8803	0.7749	1.643	"[0.176, 6.1233]"	1.555	"[0.2935, 3.2661]"	2.19E+05	161.9	3550
Belgium	Finland	0.965	0.1182	0.9392	0.8821	0.6693	"[2.0234E-3, 8.0925]"	0.5786	"[3.9306E-3, 2.8206]"	5.62E+05	63.1	3550
Belgium	France	0.7695	0.0737	0.7734	0.5981	0.5433	"[1.0565E-3, 6.5515]"	0.4354	"[1.0565E-3, 2.2929]"	3.23E+05	110	3550
Belgium	Gambia	1.1288	0.0803	1.0837	1.1743	0.7806	"[7.6913E-3, 7.9565]"	0.6485	"[7.6913E-3, 3.2026]"	1.95E+05	182.1	3550
Belgium	Germany	0.9584	0.0848	1.0002	1.0005	0.6296	"[1.3729E-3, 8.0546]"	0.4843	"[1.3729E-3, 3.0512]"	2.55E+05	139.1	3550
Belgium	Isle_of_Man	0.9402	0.0686	0.9231	0.8521	0.6269	"[3.5982E-3, 6.3347]"	0.5275	"[6.9266E-3, 2.8676]"	1.96E+05	181.1	3550
Belgium	Italy	0.8916	0.0606	0.8319	0.6921	0.7002	"[4.6078E-3, 10.3347]"	0.5921	"[4.6078E-3, 2.5639]"	1.89E+05	188.2	3550
Belgium	Jersey	0.7349	0.0542	0.6248	0.3904	0.5863	"[0.0143, 8.0187]"	0.5311	"[0.0143, 1.8281]"	2.68E+05	132.7	3550
Belgium	Leningrad_region	1.081	0.0471	0.6844	0.4683	0.9922	"[0.0218, 5.8371]"	0.8876	"[0.0383, 2.0947]"	1.68E+05	210.8	3550
Belgium	Luxembourg	0.699	0.0651	0.7928	0.6285	0.4422	"[1.1413E-3, 6.3173]"	0.4016	"[2.5685E-3, 2.1407]"	2.40E+05	148.1	3550
Belgium	Netherlands	1.9458	0.0593	0.9232	0.8523	1.761	"[0.2624, 9.4233]"	1.7531	"[0.5582, 3.8211]"	1.47E+05	241.9	3550
Belgium	Poland	2.4332	0.0636	1.0068	1.0136	2.318	"[0.1248, 6.4079]"	2.2089	"[0.6024, 4.3295]"	1.42E+05	250.2	3550
Belgium	Scotland	0.9248	0.0817	0.8853	0.7838	0.6629	"[5.4449E-4, 5.905]"	0.5195	"[5.4449E-4, 2.8425]"	3.03E+05	117.3	3550
Belgium	Spain	1.0069	0.0397	0.5418	0.2936	0.9071	"[0.0492, 4.5109]"	0.8573	"[0.1351, 2.0254]"	1.91E+05	185.8	3550
Belgium	Wales	0.9965	0.0729	0.9537	0.9096	0.7222	"[7.9616E-4, 7.5538]"	0.5759	"[7.9616E-4, 2.7492]"	2.08E+05	171	3550
Czech_Republic	Denmark	1.075	0.0873	1.0982	1.2061	0.6805	"[3.4198E-3, 7.3258]"	0.5923	"[8.2641E-3, 3.5619]"	2.24E+05	158.2	3550
Czech_Republic	England	1.009	0.0839	0.9285	0.8622	0.6937	"[8.3672E-3, 6.7291]"	0.5969	"[9.9209E-3, 2.9294]"	2.90E+05	122.4	3550
Czech_Republic	Finland	0.8881	0.1136	1.1224	1.2598	0.4905	"[8.7534E-4, 8.7121]"	0.4165	"[8.7534E-4, 3.0867]"	3.63E+05	97.7	3550
Czech_Republic	France	1.0443	0.0978	1.0183	1.037	0.7553	"[4.6375E-3, 6.9287]"	0.5629	"[4.6375E-3, 3.0133]"	3.27E+05	108.4	3550
Czech_Republic	Gambia	1.0572	0.1005	1.0046	1.0092	0.7713	"[1.8733E-3, 7.3415]"	0.6256	"[3.5248E-3, 3.1652]"	3.56E+05	99.8	3550
Czech_Republic	Germany	0.9895	0.1008	1.0058	1.0116	0.6955	"[2.1745E-3, 8.28]"	0.5193	"[2.5046E-3, 3.1612]"	3.57E+05	99.5	3550
Czech_Republic	Isle_of_Man	1.0289	0.0627	0.9341	0.8725	0.7666	"[1.3399E-3, 6.2945]"	0.5874	"[2.169E-3, 2.8373]"	1.60E+05	221.9	3550
Czech_Republic	Italy	0.918	0.0745	0.9038	0.8169	0.6295	"[3.2012E-3, 6.5314]"	0.5249	"[3.815E-3, 2.8052]"	2.42E+05	147	3550
Czech_Republic	Jersey	0.9653	0.0662	0.885	0.7832	0.6904	"[0.0103, 8.2325]"	0.6194	"[0.013, 2.9092]"	1.98E+05	178.9	3550
Czech_Republic	Leningrad_region	0.9722	0.0814	0.9295	0.864	0.6963	"[2.6797E-3, 10.9917]"	0.5867	"[2.6797E-3, 2.6937]"	2.72E+05	130.5	3550
Czech_Republic	Luxembourg	0.9652	0.0756	0.9602	0.9221	0.6492	"[1.3054E-3, 8.6572]"	0.5596	"[2.7267E-3, 2.9061]"	2.20E+05	161.3	3550
Czech_Republic	Netherlands	0.9417	0.0977	0.9526	0.9074	0.6405	"[1.4498E-3, 6.4687]"	0.4887	"[1.4498E-3, 2.8244]"	3.74E+05	95	3550
Czech_Republic	Poland	3.0565	0.0611	1.0296	1.0602	2.9557	"[0.9038, 8.1101]"	2.8811	"[1.3086, 5.0831]"	1.25E+05	284.2	3550
Czech_Republic	Scotland	1.0139	0.0791	0.9168	0.8404	0.8191	"[7.0264E-4, 7.1464]"	0.5813	"[1.6137E-3, 2.7762]"	2.64E+05	134.4	3550
Czech_Republic	Spain	1.073	0.0876	1.0813	1.1692	0.7395	"[5.9527E-3, 8.5495]"	0.6055	"[5.9527E-3, 3.125]"	2.33E+05	152.3	3550
Czech_Republic	Wales	1.0008	0.1002	1.035	1.0712	0.7117	"[2.6358E-3, 8.8076]"	0.5498	"[2.6358E-3, 3.1229]"	3.33E+05	106.8	3550
Denmark	England	0.8759	0.0626	0.8555	0.7318	0.6391	"[6.9641E-3, 7.5362]"	0.5384	"[6.9641E-3, 2.4323]"	1.90E+05	186.6	3550
Denmark	Finland	0.8558	0.0658	0.8878	0.7882	0.5369	"[5.3068E-3, 10.768]"	0.4906	"[5.8505E-3, 2.5559]"	1.95E+05	182.1	3550
Denmark	France	0.9495	0.1043	0.9723	0.9453	0.6602	"[8.8307E-3, 6.8659]"	0.5526	"[8.8307E-3, 2.9007]"	4.09E+05	86.8	3550
Denmark	Gambia	1.0044	0.0708	0.9545	0.9111	0.7173	"[4.5558E-3, 9.1727]"	0.6306	"[4.5558E-3, 3.2285]"	1.95E+05	181.7	3550
Denmark	Germany	1.1152	0.0898	1.0907	1.1896	0.7512	"[2.2242E-4, 5.9114]"	0.589	"[2.2242E-4, 3.5707]"	2.41E+05	147.5	3550
Denmark	Isle_of_Man	0.9818	0.0779	0.9954	0.9908	0.6386	"[5.3682E-3, 7.4141]"	0.5584	"[5.3682E-3, 2.9726]"	2.17E+05	163.3	3550
Denmark	Italy	1.0685	0.0774	1.0107	1.0216	0.78	"[4.5227E-3, 8.3236]"	0.6271	"[6.0425E-3, 3.0917]"	2.08E+05	170.4	3550
Denmark	Jersey	0.99	0.0867	1.0257	1.052	0.6909	"[1.2852E-3, 8.4712]"	0.5342	"[1.2852E-3, 3.1231]"	2.54E+05	139.9	3550
Denmark	Leningrad_region	1.0302	0.0801	1.0393	1.0801	0.7271	"[3.4234E-3, 7.2102]"	0.5908	"[3.4234E-3, 3.3847]"	2.11E+05	168.2	3550
Denmark	Luxembourg	0.8912	0.0729	0.9675	0.936	0.5513	"[3.2028E-3, 8.689]"	0.4919	"[3.2028E-3, 2.8216]"	2.01E+05	176.3	3550
Denmark	Netherlands	0.9429	0.0769	0.9855	0.9712	0.6128	"[9.9513E-3, 7.4949]"	0.5306	"[0.0106, 3.1097]"	2.16E+05	164.3	3550
Denmark	Poland	0.9402	0.0843	1.0033	1.0067	0.6144	"[8.4338E-4, 7.3468]"	0.5317	"[6.2576E-3, 2.8421]"	2.50E+05	141.7	3550
Denmark	Scotland	1.1101	0.1072	1.051	1.1045	0.8338	"[7.4204E-4, 8.3443]"	0.5758	"[7.4204E-4, 3.0688]"	3.69E+05	96.1	3550
Denmark	Spain	1.0386	0.0798	1.0393	1.0801	0.7184	"[9.7729E-3, 8.2338]"	0.6254	"[9.7729E-3, 2.8827]"	2.09E+05	169.5	3550
Denmark	Wales	0.8876	0.0849	1.0579	1.1191	0.526	"[2.1816E-3, 8.5086]"	0.4488	"[2.1816E-3, 2.7241]"	2.29E+05	155.1	3550
England	Finland	0.8621	0.0878	0.9287	0.8625	0.5394	"[1.061E-3, 6.5531]"	0.446	"[1.061E-3, 2.5957]"	3.17E+05	111.9	3550
England	France	0.8	0.0798	0.8495	0.7217	0.5073	"[6.2994E-3, 9.2334]"	0.4563	"[6.2994E-3, 2.3458]"	3.13E+05	113.3	3550
England	Gambia	0.8784	0.0702	0.8534	0.7283	0.5803	"[1.1366E-3, 6.9343]"	0.5366	"[4.2051E-3, 2.54]"	2.40E+05	147.9	3550
England	Germany	1.0414	0.0841	1.0323	1.0656	0.7144	"[8.8418E-3, 9.1374]"	0.5696	"[9.6039E-3, 3.1184]"	2.36E+05	150.6	3550
England	Isle_of_Man	1.0188	0.093	1.1191	1.2523	0.604	"[8.1613E-3, 6.9229]"	0.5291	"[0.016, 3.4664]"	2.45E+05	144.7	3550
England	Italy	0.8326	0.0677	0.8538	0.729	0.547	"[9.8345E-4, 7.2162]"	0.4642	"[4.5317E-3, 2.6861]"	2.23E+05	159	3550
England	Jersey	0.9983	0.0831	1.061	1.1256	0.6842	"[7.9043E-3, 8.3505]"	0.5693	"[0.0106, 3.1578]"	2.18E+05	163	3550
England	Leningrad_region	0.9282	0.0793	0.9492	0.9009	0.6721	"[4.5937E-3, 9.5558]"	0.5152	"[0.0142, 2.7681]"	2.48E+05	143.2	3550
England	Luxembourg	0.9122	0.0681	0.8415	0.7082	0.6794	"[3.9125E-3, 5.2261]"	0.559	"[4.5766E-3, 2.524]"	2.32E+05	152.8	3550
