index,accuracy_train,positive_accuracy_train,negative_accuracy_train,balance_accuracy_train,accuracy_test,positive_accuracy_test,negative_accuracy_test,balance_accuracy_test,avian_accuracy,earliest,nweight,pweight,kernal,c,
0,0.996714676,0.99697411,0.993299832,0.995136971,0.990719258,0.995049505,0.970967742,0.983008623,0.998331995,1,9,1,0,1,Hu1
1,0.999806247,1,0.997195213,0.998597607,0.966580977,1,0.959627329,0.979813665,0.913703704,1,1,7,2,0.125,Hu2
2,0.997020128,0.999966842,0.980602254,0.990284548,0.982176205,0.982467007,0.944615385,0.963541196,0.993801141,1,1,9,0,4,Hu3
3,0.998215546,0.999978111,0.983054039,0.991516075,0.997839449,0.998714653,0.938931298,0.968822975,0.994309044,1,1,7,0,2,Hu4
4,0.999625942,0.999902906,0.995950672,0.997926789,0.975409836,1,0.972222222,0.986111111,0.994910941,1,1,1,1,1,Ca1
5,0.999780566,1,0.996908529,0.998454264,0.981557377,0.993902439,0.975308642,0.98460554,0.97370225,1,1,9,2,0.125,Ca2
6,0.999534155,0.99977771,0.996227127,0.998002418,0.962450593,0.962264151,0.962536023,0.962400087,0.994451979,1,1,1,1,1,Eq
7,0.998657909,0.999986108,0.981296532,0.99064132,0.96007984,1,0.942528736,0.971264368,0.992694349,1,1,9,0,4,Sw1
8,0.998853555,1,0.983579026,0.991789513,0.898537477,0.87109905,0.955182073,0.913140562,0.996780983,1,1,7,0,0.125,Sw2
9,0.99691402,0.99723911,0.992602182,0.994920646,0.974293059,0.992874109,0.952380952,0.972627531,0.998509872,1,9,1,0,1,Sw3
10,0.998281076,0.999166146,0.98652888,0.992847513,0.967117988,1,0.949253731,0.974626866,0.998510797,1,5,1,0,1,Sw4
11,0.998910915,0.999986066,0.984514925,0.992250496,0.842323651,0.755434783,0.932394366,0.843914574,0.990467348,1,1,9,0,0.125,Sw5
