index,accuracy_train,positive_accuracy_train,negative_accuracy_train,balance_accuracy_train,accuracy_test,positive_accuracy_test,negative_accuracy_test,balance_accuracy_test,avian_accuracy,earliest,nweight,pweight,kernal
0,0.999828,1,0.999359,0.9996795,0.991189,1,0.952239,0.9761195,0.486758,1,5,1,0
1,0.965988,0.95885,0.980685,0.9697675,0.906023,0.89768,0.964912,0.931296,0.987552,1,7,1,0
2,0.99856,1,0.995501,0.9977505,0.994561,1,0.956395,0.9781975,0.448723,1,1,3,0
3,0.984721,0.989209,0.972471,0.98084,0.995011,1,0.974138,0.987069,0.984319,1,7,1,0
4,0.977493,0.976817,0.979301,0.978059,0.993827,0.998099,0.97541,0.9867545,0.993186,1,7,1,0
5,0.975563,0.974192,0.979154,0.976673,0.972818,0.973299,0.970588,0.9719435,0.992129,0.5,9,1,0
6,0.999826,1,0.999369,0.9996845,0.94814,0.941927,0.976608,0.9592675,0.979844,1,1,1,1
7,0.989476,0.99972,0.966091,0.9829055,0.844,0.827522,0.945559,0.8865405,0.968033,0.5,1,9,0
8,0.985921,0.990474,0.974763,0.9826185,0.993587,0.99891,0.965517,0.9822135,0.980539,1,5,1,0
9,0.998056,0.998787,0.996089,0.997438,0.990326,0.994987,0.970109,0.982548,0.973858,1,9,1,0
10,0.993335,1,0.977076,0.988538,0.872521,0.851852,0.982143,0.9169975,0.95994,1,1,7,0
11,0.99871,1,0.994839,0.9974195,0.987134,1,0.945783,0.9728915,0.393786,1,5,1,2
12,0.988739,1,0.955243,0.9776215,0.977716,1,0.913279,0.9566395,0.957968,1,1,7,0
13,0.99986,1,0.999355,0.9996775,0.982906,1,0.977716,0.988858,0.455511,1,1,9,0
14,0.999716,0.999636,1,0.999818,0.97079,1,0.951567,0.9757835,0.458271,1,1,9,0
15,0.999858,1,0.999351,0.9996755,0.980496,1,0.967456,0.983728,0.404302,1,1,9,0
16,0.998725,1,0.994238,0.997119,0.971781,0.981818,0.965418,0.973618,0.479034,1,1,9,0
17,0.990348,0.999797,0.961538,0.9806675,0.636926,0.507463,0.954268,0.7308655,0.981435,0.5,1,9,0
18,0.989703,0.993883,0.97575,0.9848165,0.977246,0.989754,0.959654,0.974704,0.978703,1,1,7,0
19,1,1,1,1,0.974705,1,0.956395,0.9781975,0.646982,1,1,7,0
20,0.99518,1,0.978887,0.9894435,0.603073,0.303448,0.979769,0.6416085,0.966735,1,1,9,0
21,0.998292,1,0.994194,0.997097,0.869492,0.854,0.955556,0.904778,0.454108,1,1,9,0
22,0.999521,1,0.99811,0.999055,0.986928,1,0.946269,0.9731345,0.602567,1,1,9,0
23,0.988404,0.993414,0.973852,0.983633,0.45638,0.291237,0.973118,0.6321775,0.989262,1,9,3,0
24,0.998692,1,0.994859,0.9974295,0.992021,1,0.965217,0.9826085,0.438129,1,1,5,0
25,0.988975,1,0.957553,0.9787765,0.868863,0.839549,0.97006,0.9048045,0.947677,1,1,9,0
26,0.990691,0.999749,0.968204,0.9839765,0.932096,0.924007,0.977419,0.950713,0.979204,0.5,1,5,0
