family,GC
Anatidae,44.27942794
Anatidae,44.68536413
Anatidae,45.13643155
Anatidae,44.57623125
Anatidae,44.59363958
Anatidae,44.58843858
Anatidae,45.08034513
Anatidae,45.02317543
Anatidae,45.01256676
Anatidae,45.18535972
Anatidae,45.1775055
Anatidae,44.86062034
Anatidae,44.98114986
Anatidae,44.96306774
Anatidae,44.72981464
Anatidae,45.16458481
Anatidae,44.94187873
Anatidae,44.99685831
Anatidae,45.11236838
Anatidae,45.08956631
Anatidae,44.86877259
Anatidae,45.07816796
Anatidae,45.12530442
Anatidae,45.14887265
Anatidae,44.77447745
Anatidae,44.76661952
Anatidae,44.75090366
Anatidae,44.75090366
Anatidae,44.74304573
Anatidae,44.75442043
Anatidae,44.75090366
Anatidae,44.7953492
Anatidae,44.85819782
Anatidae,44.85819782
Anatidae,45.07861635
Anatidae,45.07816796
Anatidae,45.02827521
Anatidae,45.03181211
Anatidae,45.02042099
Anatidae,45.02827521
Anatidae,44.87904493
Anatidae,44.77963705
Anatidae,44.92478226
Anatidae,45.11467169
Anatidae,45.09896324
Anatidae,45.24314557
Anatidae,45.24314557
Anatidae,45.20612485
Anatidae,45.25100165
Anatidae,45.18029696
Anatidae,45.5023961
Anatidae,44.8397738
Anatidae,45.01885607
Anatidae,44.50467437
Anatidae,45.13038014
Anatidae,45.16179705
Anatidae,45.16179705
Anatidae,44.86745851
Anatidae,44.96032681
Anatidae,44.9717159
Anatidae,44.87390997
Anatidae,44.86605389
Anatidae,44.85034174
Anatidae,44.85034174
Anatidae,45.08325479
Anatidae,45.05969211
Anatidae,45.08325479
Anatidae,45.06754634
Anatidae,45.10173619
Anatidae,45.10959227
Anatidae,45.04398366
Anatidae,45.25604775
Anatidae,45.27961043
Anatidae,45.26390198
Anatidae,45.04674366
Anatidae,44.93949395
Anatidae,44.89122752
Anatidae,45.22463085
Anatidae,45.22463085
Anatidae,45.16965127
Anatidae,45.06754634
Anatidae,45.02827521
Anatidae,45.00471254
Anatidae,45.33459001
Anatidae,45.35029846
Anatidae,45.02042099
Anatidae,44.88689915
Anatidae,45.08879459
Anatidae,45.08093667
Anatidae,45.07307874
Anatidae,45.09665252
Anatidae,45.09665252
Anatidae,45.09665252
Anatidae,45.09665252
Anatidae,45.08879459
Anatidae,45.08879459
Anatidae,45.08879459
Anatidae,45.07307874
Anatidae,45.10451045
Anatidae,45.09665252
Anatidae,45.11236838
Anatidae,45.09665252
Anatidae,45.09665252
Anatidae,45.10451045
Anatidae,45.02593116
Anatidae,45.08093667
Anatidae,45.29531888
Anatidae,44.45579568
Anatidae,45.12022631
Anatidae,45.10019646
Anatidae,45.09665252
Anatidae,45.12808424
Anatidae,45.09665252
Anatidae,45.11236838
Anatidae,45.09665252
Anatidae,45.10805501
Anatidae,45.12022631
Anatidae,45.09665252
Anatidae,45.11236838
Anatidae,45.10651678
Anatidae,45.10451045
Anatidae,45.11236838
Anatidae,45.10451045
Anatidae,45.11236838
Anatidae,45.10451045
Anatidae,45.11945929
Anatidae,45.11236838
Anatidae,45.12808424
Anatidae,45.1237721
Anatidae,45.11591356
Anatidae,45.08879459
Anatidae,44.83579248
Anatidae,45.19321395
Anatidae,44.92377809
Anatidae,45.15165802
Anatidae,45.23248508
Anatidae,45.07996534
Anatidae,45.09572205
Anatidae,45.09572205
Anatidae,45.09572205
Anatidae,45.10360041
Anatidae,45.06245581
Anatidae,44.87904493
Anatidae,44.89234638
Anatidae,44.74304573
Anatidae,44.70375609
Anatidae,44.80050267
Anatidae,44.80050267
Anatidae,44.80050267
Anatidae,44.93675858
Anatidae,44.96306774
Anatidae,45.19827248
Anatidae,44.55445545
Anatidae,44.8711907
Anatidae,45.09896324
Anatidae,45.16737388
Anatidae,45.17523181
Anatidae,44.70375609
Anatidae,44.70375609
Anatidae,44.72981464
Anatidae,45.1151458
Anatidae,45.15394282
Anatidae,44.83462959
Anatidae,44.84248566
Anatidae,45.15951595
Anatidae,44.77447745
Anatidae,45.19374361
Anatidae,44.77776033
Anatidae,44.71678844
Anatidae,45.16306483
Anatidae,44.96178996
Anatidae,45.00746327
Anatidae,45.01417769
Anatidae,44.82406535
Anatidae,44.93914409
Anatidae,44.71858742
Anatidae,44.72813239
Anatidae,44.71237195
Anatidae,45.04164702
Anatidae,45.09665252
Anatidae,44.87663052
Anatidae,45.00471254
Anatidae,44.76744186
Anatidae,44.80320528
Anatidae,44.7953492
Anatidae,44.77529855
Anatidae,44.7639249
Anatidae,44.76661952
Anatidae,44.77529855
Anatidae,44.77963705
