G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,B3.13,HuH3N8
44.47147454,44.75047081,44.90740741,45.04080352,44.86817326,44.91525424,44.93879473,44.78185813,44.82893911,45.01726303,45.08003766,44.81324545,44.6843593,45.13065997,44.76616447,44.41398
44.51769877,44.8524796,44.90740741,45.04865035,44.86032643,44.91525424,44.94664156,44.78185813,44.81676214,45.01726303,45.10357815,44.78970496,44.60922787,45.14635486,44.7740113,44.47068
44.5133438,44.7740113,45.06434401,45.04080352,44.72693032,44.89956058,44.89956058,44.87602009,44.83949455,45.07219083,45.00156937,44.82109228,44.7068979,45.02001413,44.76616447,
44.50549451,44.72176438,45.06434401,45.06434401,44.71908349,44.86817326,44.89171375,44.82109228,44.81676214,45.01726303,45.11142498,44.80539862,44.71825459,45.00156937,44.76616447,
44.5386064,44.78888714,44.9309479,45.01726303,44.695543,44.88386692,44.88386692,44.82109228,44.82893911,45.03295669,45.08788449,44.8524796,44.66331816,44.98587571,44.73477715,
44.54994899,44.69036967,44.9309479,45.02510986,44.83678594,44.89171375,44.89171375,44.83678594,44.82893911,45.03295669,45.06434401,44.84463277,44.61973158,44.98587571,44.76616447,
44.50549451,44.72176438,45.10357815,45.00156937,44.84463277,44.91525424,44.90740741,44.79755179,44.79755179,45.05649718,44.98346196,44.79755179,44.67200251,44.98587571,44.78185813,
44.4706067,44.82812745,45.08788449,45.02510986,44.8524796,44.90740741,44.86817326,44.80539862,44.82893911,45.08788449,44.83678594,44.79755179,44.60053367,,44.78185813,
44.49152542,44.80106725,44.95448839,45.02510986,44.71123666,44.95448839,44.88386692,44.82109228,44.82893911,45.02510986,44.78185813,44.79755179,44.7225928,,44.80539862,
44.50721908,44.68335557,44.95448839,45.01726303,44.71908349,44.95448839,44.88386692,44.81324545,44.81324545,45.08788449,44.82893911,44.81324545,44.7225928,,44.78185813,
44.56214689,44.79755179,44.92310107,45.05649718,44.71908349,44.88386692,44.88386692,44.82109228,44.81324545,45.07219083,45.03295669,44.80539862,44.70338983,,44.76616447,
44.54994899,44.78185813,45.07219083,45.03295669,44.87602009,44.91525424,44.89956058,44.79755179,44.82893911,45.00156937,45.03295669,44.79755179,44.7565842,,44.79755179,
44.57349133,44.74882261,45.07219083,45.04080352,44.82893911,44.87602009,44.86032643,44.82109228,44.76967747,45.05063192,44.83678594,44.86384682,44.75695265,,44.79755179,
44.56043956,44.82893911,44.95448839,45.08788449,44.9309479,44.9309479,44.88386692,44.82893911,44.80106725,44.99481535,45.02510986,44.81324545,44.65630885,,44.76885645,
44.45490935,44.76616447,45.02510986,45.04080352,44.93879473,44.88386692,44.90740741,44.85599937,44.78970496,45.01218458,45.06434401,44.81324545,44.70644467,,44.75831764,
