FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Austria	Belgium	0.5028888474996658	0.02825478017293874
Austria	Czech_Republic	0.6083506583229832	0.0339788089148703
Austria	Denmark	0.6264262012694696	0.03495311167945439
Austria	England	0.41631661307347684	0.02350505419559128
Austria	Finland	0.7723551647824766	0.04274753379612715
Austria	France	0.3876460507322756	0.021921812203142127
Austria	Gambia	0.4495137727196943	0.02533187187918646
Austria	Germany	0.5006584761365491	0.028132992327365727
Austria	Isle_of_Man	0.4185258922606099	0.023626842041164293
Austria	Italy	0.9581426176868896	0.05249056144196809
Austria	Jersey	1.1789812288552062	0.0638168310802582
Austria	Leningrad_region	1.2320064120122307	0.06649616368286446
Austria	Luxembourg	1.280475950382888	0.06893192059432468
Austria	Netherlands	0.8138268475558985	0.04493971501644136
Austria	Poland	0.5431313475119866	0.030446961393252953
Austria	Scotland	0.44508029654158265	0.025088296188040433
Austria	Spain	0.47171443380175526	0.026549750334916574
Austria	Wales	0.436219986926543	0.024601144805748387
Belgium	Czech_Republic	141995.84671367638	1.0
Belgium	Denmark	2.796933715660194	0.1392035074899525
Belgium	England	754.5150807412392	0.9775910364145658
Belgium	Finland	4.80085992535029	0.21726951650225307
Belgium	France	0.8508507197311657	0.04688832054560955
Belgium	Gambia	1.171774028910202	0.06345146754353916
Belgium	Germany	1.32675749523347	0.0712458896602119
Belgium	Isle_of_Man	0.3502935343834477	0.019851418828400927
Belgium	Italy	14.33328754985944	0.453172573377177
Belgium	Jersey	37.19920771378065	0.6826208744367313
Belgium	Leningrad_region	125.86293483388054	0.8791864571915723
Belgium	Luxembourg	11.937366495464326	0.4083546462063086
Belgium	Netherlands	696.3384057132439	0.9757642187309706
Belgium	Poland	1348.215507950022	0.9873340640604068
Belgium	Scotland	0.18091500659175414	0.010351966873706004
Belgium	Spain	955.3972800844874	0.9822189745463403
Belgium	Wales	0.3437182885141562	0.01948605529168189
Czech_Republic	Denmark	0.35248637248019865	0.019973206673973936
Czech_Republic	England	0.3283950879146525	0.018633540372670808
Czech_Republic	Finland	1.3634587804628853	0.0730727073438071
Czech_Republic	France	0.2024482614423745	0.011569845329436123
Czech_Republic	Gambia	0.18306594685474042	0.010473754719279017
Czech_Republic	Germany	0.23701205974679732	0.01351845085860431
Czech_Republic	Isle_of_Man	0.1766147138661726	0.01010839118255998
Czech_Republic	Italy	0.5140490954791437	0.0288637194008038
Czech_Republic	Jersey	2.070834136818594	0.10692972841310437
Czech_Republic	Leningrad_region	1.4521348996421386	0.07745706978443552
Czech_Republic	Luxembourg	3.796630254477019	0.18000243575691147
Czech_Republic	Netherlands	1.9527148776000305	0.10144927536231885
Czech_Republic	Poland	141995.84671367638	1.0
Czech_Republic	Scotland	0.12090287636985365	0.006941907197661673
Czech_Republic	Spain	0.3744447661627317	0.021191085129704055
Czech_Republic	Wales	0.21539370377895703	0.012300572402874193
Denmark	England	1.0429993094382983	0.05687492388259652
Denmark	Finland	0.8392645076574186	0.04627938131774449
Denmark	France	1.476916934711291	0.07867494824016563
Denmark	Gambia	0.7769537470667611	0.04299110948727317
Denmark	Germany	0.7036561921780882	0.03909389842893679
Denmark	Isle_of_Man	0.8300061851875632	0.04579222993545244
