Groups	Time	GC
annotated	2006.414	44.4706
annotated	2006.581	44.4078
annotated	2007.293	44.4078
annotated	2007.329	44.5334
annotated	2010.745	44.2457
annotated	2010.414	44.128
annotated	2012.038	43.9566
annotated	2012.713	43.8613
annotated	2012.705	43.9187
annotated	2017.225	43.6966
annotated	2014.005	43.8142
annotated	2014.025	43.7985
annotated	2013.932	43.8221
annotated	2013.863	43.8221
annotated	2013.923	43.7044
annotated	2013.921	43.7985
annotated	2013.921	43.7907
annotated	2015.956	43.7358
annotated	2015.956	43.6495
annotated	2015.899	43.5553
annotated	2015.899	43.5553
annotated	2012.954	43.8378
annotated	2012.995	43.8535
annotated	2013.186	44.1673
annotated	2012.38	44.0182
annotated	2012.276	43.9868
annotated	2011.085	44.2379
annotated	2011.085	44.2744
annotated	2014.085	44.1751
annotated	2013.833	44.1045
annotated	2014.085	44.2222
annotated	2013.833	44.1829
annotated	2011.085	44.264
annotated	2011.162	44.2038
annotated	2010.247	44.2849
annotated	2010.329	44.2457
annotated	2010.329	44.2457
annotated	2009.915	44.2457
annotated	2010.162	44.2535
annotated	2009.712	44.3058
annotated	2012.645	44.0546
annotated	2012.443	44.086
annotated	2012.355	44.0703
annotated	2013.693	44.0782
annotated	2013.603	44.0703
annotated	2013.433	43.8977
annotated	2012.844	44.2038
annotated	2012.533	44.086
annotated	2012.787	44.0154
annotated	2012.71	44.0182
annotated	2016	43.8192
annotated	2015	43.7956
annotated	2016	43.7956
annotated	2015.973	43.7564
annotated	2016	43.7485
annotated	2015	43.725
annotated	2016.104	43.6936
annotated	2016	43.7014
annotated	2016	43.725
annotated	2016	43.725
annotated	2015.573	43.8035
annotated	2015.499	43.7564
annotated	2015	43.8113
annotated	2015.173	43.7956
annotated	2015.54	43.7956
annotated	2015.345	43.8113
annotated	2015.241	43.8113
annotated	2015	43.7902
annotated	2015	43.7799
annotated	2015	43.8349
annotated	2015	43.8035
annotated	2015	43.7721
annotated	2015.444	43.7799
annotated	2015	43.7799
annotated	2016	43.6779
annotated	2016	43.6857
annotated	2016	43.6386
annotated	2016	43.6543
annotated	2016	43.7328
annotated	2016	43.6465
annotated	2016	43.6936
annotated	2016	43.6386
annotated	2016	43.6936
annotated	2016	43.7014
annotated	2016	43.7328
annotated	2016	43.725
annotated	2016	43.7328
annotated	2016	43.725
annotated	2015	43.7878
annotated	2015.529	43.7878
annotated	2015.282	43.7956
annotated	2015.285	43.8113
annotated	2015	43.7878
annotated	2018.641	43.6622
annotated	2018.636	43.6857
annotated	2018.345	43.6779
annotated	2018.362	43.6857
annotated	2018.162	43.7485
annotated	2018.101	43.725
annotated	2018	43.7642
annotated	2018.014	43.7407
annotated	2017.995	43.7328
annotated	2018.044	43.725
annotated	2018.044	43.7407
annotated	2018.085	43.725
annotated	2018.068	43.7171
annotated	2018.033	43.725
annotated	2018.022	43.7328
annotated	2018.022	43.7407
annotated	2018.011	43.7328
annotated	2018.044	43.7333
annotated	2018.005	43.7726
annotated	2019.181	43.6309
annotated	2019.474	43.6703
annotated	2021.595	43.5601
annotated	2021.595	43.56
annotated	2018.373	43.6703
annotated	2018.329	43.6521
annotated	2018.37	43.6309
annotated	2018.364	43.5916
annotated	2018.164	43.7254
annotated	2018.164	43.7254
annotated	2018.164	43.7254
annotated	2018.184	43.7175
annotated	2018.184	43.7018
annotated	2018.23	43.7097
annotated	2018.197	43.7097
annotated	2018.197	43.7175
annotated	2018.195	43.7097
annotated	2018.195	43.7097
annotated	2017.605	43.7569
annotated	2017.581	43.749
annotated	2017.395	43.7805
annotated	2017.397	43.7805
annotated	2017.395	43.7805
annotated	2017.397	43.7805
