EPI_ISL_1211|Human|H1N1|1918|NorthAmerica|seasonal,1918,-586,43.8081936685289,2148,2148,47.3463687150838,42.0391061452514
EPI_ISL_69816|Human|H1N1|1933.025|Europe|seasonal,1933.025,-570.4,43.0633147113594,2148,2148,45.6703910614525,41.7597765363128
EPI_ISL_90462|Human|H1N1|1933.414|Europe|,1933.414,-570.4,43.0633147113594,2148,2148,45.6703910614525,41.7597765363128
EPI_ISL_66109|Human|H1N1|1932|Europe|seasonal,1932,-577,43.0167597765363,2148,2148,45.2513966480447,41.8994413407821
EPI_ISL_66108|Human|H1N1|1932|NorthAmerica|seasonal,1932,-570.3,42.8305400372439,2148,2148,44.5530726256983,41.9692737430168
EPI_ISL_69745|Human|H1N1|1933|Europe|seasonal,1933,-570.6,42.9236499068901,2148,2148,44.8324022346369,41.9692737430168
EPI_ISL_69822|Human|H1N1|1933|Europe|seasonal,1933,-570.6,42.9236499068901,2148,2148,44.8324022346369,41.9692737430168
EPI_ISL_147186|Human|H1N1|1935|NorthAmerica|,1935,-578.9,43.1564245810056,2148,2148,45.6703910614525,41.8994413407821
EPI_ISL_69244|Human|H1N1|1945|NorthAmerica|seasonal,1945,-564.3,42.5512104283054,2148,2148,44.6927374301676,41.4804469273743
EPI_ISL_84909|Human|H1N1|1948|NorthAmerica|,1948,-558.4,42.8970656730321,2147,2148,45.5307262569832,41.5793151642208
EPI_ISL_69277|Human|H1N1|1943|NorthAmerica|seasonal,1943,-564.1,42.9236499068901,2148,2148,45.391061452514,41.6899441340782
EPI_ISL_69245|Human|H1N1|1943|NorthAmerica|seasonal,1943,-565,42.9236499068901,2148,2148,45.5307262569832,41.6201117318436
EPI_ISL_5169|Human|H1N1|1947|NorthAmerica|seasonal,1947,-577.4,42.5977653631285,2148,2148,44.8324022346369,41.4804469273743
EPI_ISL_147188|Human|H1N1|1947|NorthAmerica|,1947,-576.2,42.5977653631285,2148,2148,44.6927374301676,41.5502793296089
EPI_ISL_6974|Human|H1N1|1954|Asia|seasonal,1954,-558.9,42.2718808193668,2148,2148,43.7150837988827,41.5502793296089
EPI_ISL_66101|Human|H1N1|1954|Asia|seasonal,1954,-558.9,42.2718808193668,2148,2148,43.7150837988827,41.5502793296089
EPI_ISL_143167|Human|H1N1|1954|Asia|,1954,-558.9,42.2718808193668,2148,2148,43.7150837988827,41.5502793296089
EPI_ISL_84910|Human|H1N1|1951|Europe|,1951,-563.1,42.6908752327747,2148,2148,44.6927374301676,41.6899441340782
EPI_ISL_7072|Human|H1N1|1951|NorthAmerica|seasonal,1951,-563.1,42.7839851024209,2148,2148,44.9720670391061,41.6899441340782
EPI_ISL_7093|Human|H1N1|1951|NorthAmerica|seasonal,1951,-563.1,42.6908752327747,2148,2148,44.6927374301676,41.6899441340782
EPI_ISL_7084|Human|H1N1|1951|NorthAmerica|seasonal,1951,-564.1,42.6908752327747,2148,2148,44.6927374301676,41.6899441340782
EPI_ISL_7063|Human|H1N1|1951|NorthAmerica|seasonal,1951,-563.1,42.6908752327747,2148,2148,44.6927374301676,41.6899441340782
EPI_ISL_66094|Human|H1N1|1957|NorthAmerica|seasonal,1957,-564.8,42.5977653631285,2148,2148,44.4134078212291,41.6899441340782
EPI_ISL_143164|Human|H1N1|1957|NorthAmerica|,1957,-564.8,42.5977653631285,2148,2148,44.4134078212291,41.6899441340782
EPI_ISL_130407|Human|H1N1|1957|Asia|,1957,-555.8,42.5512104283054,2148,2148,44.5530726256983,41.5502793296089
EPI_ISL_84889|Human|H1N1|1953|Europe|,1953,-561.1,42.5046554934823,2148,2148,44.2737430167598,41.6201117318436
EPI_ISL_84886|Human|H1N1|1954|Europe|,1954,-569.9,42.4581005586592,2148,2148,43.9944134078212,41.6899441340782
EPI_ISL_66099|Human|H1N1|1950|NorthAmerica|seasonal,1950,-571.3,42.9236499068901,2148,2148,45.2513966480447,41.7597765363128
EPI_ISL_147187|Human|H1N1|1950|NorthAmerica|,1950,-571.3,42.9236499068901,2148,2148,45.2513966480447,41.7597765363128
EPI_ISL_147189|Human|H1N1|1946|NorthAmerica|,1946,-574.7,42.6443202979516,2148,2148,44.9720670391061,41.4804469273743
EPI_ISL_69268|Human|H1N1|1939|NorthAmerica|seasonal,1939,-574.2,42.7374301675978,2148,2148,44.8324022346369,41.6899441340782
EPI_ISL_143169|Human|H1N1|1940|NorthAmerica|,1940,-574.2,42.7374301675978,2148,2148,44.8324022346369,41.6899441340782
EPI_ISL_66093|Human|H1N1|1946|NorthAmerica|seasonal,1946,-570.5,42.5977653631285,2148,2148,44.2737430167598,41.7597765363128
EPI_ISL_84890|Human|H1N1|1948|Europe|,1948,-558.8,42.7573358174197,2147,2148,45.2513966480447,41.5094339622642
EPI_ISL_66092|Human|H1N1|1942|NorthAmerica|seasonal,1942,-559.8,42.5512104283054,2148,2148,44.2737430167598,41.6899441340782
EPI_ISL_143168|Human|H1N1|1942|NorthAmerica|,1942,-559.8,42.5512104283054,2148,2148,44.2737430167598,41.6899441340782
EPI_ISL_66102|Human|H1N1|1934|Oceania|seasonal,1934,-571,42.9702048417132,2148,2148,45.391061452514,41.7597765363128
EPI_ISL_147194|Human|H1N1|1935|Oceania|,1935,-571,42.9702048417132,2148,2148,45.391061452514,41.7597765363128
EPI_ISL_69777|Human|H1N1|1946|Oceania|seasonal,1946,-561.1,42.7374301675978,2148,2148,45.1117318435754,41.5502793296089
EPI_ISL_69288|Human|H1N1|1946|Oceania|seasonal,1946,-561.1,42.7374301675978,2148,2148,45.1117318435754,41.5502793296089
EPI_ISL_69300|Human|H1N1|1935|NorthAmerica|seasonal,1935,-567.7,42.5512104283054,2148,2148,44.1340782122905,41.7597765363128
EPI_ISL_69267|Human|H1N1|1936|NorthAmerica|seasonal,1936,-557.8,42.2449930135072,2147,2148,43.9944134078212,41.3696715583508
EPI_ISL_381064|Human|H1N1|1934|NorthAmerica|,1934,-557.5,42.3184357541899,2148,2148,43.854748603352,41.5502793296089
EPI_ISL_73426|Human|H1N1|1934|NorthAmerica|,1934,-561.7,42.0391061452514,2148,2148,43.1564245810056,41.4804469273743
EPI_ISL_143160|Human|H1N1|1934|NorthAmerica|,1934,-562.1,42.1322160148976,2148,2148,43.4357541899441,41.4804469273743
EPI_ISL_147173|Human|H1N1|1934|NorthAmerica|,1934,-562.1,42.1322160148976,2148,2148,43.4357541899441,41.4804469273743
EPI_ISL_123173|Human|H1N1|1993|NorthAmerica|,1993,-563.8,42.0856610800745,2148,2148,42.7374301675978,41.7597765363128
EPI_ISL_5621|Human|H1N1|1995.578|NorthAmerica|seasonal,1995.578,-569.1,42.0856610800745,2148,2148,42.7374301675978,41.7597765363128
EPI_ISL_503069|Human|H1N1|1996|SouthAmerica|,1996,-571.2,41.8063314711359,2148,2148,42.0391061452514,41.6899441340782
EPI_ISL_147193|Human|H1N1|1991|NorthAmerica|,1991,-573.8,42.364990689013,2148,2148,43.7150837988827,41.6899441340782
EPI_ISL_368441|Human|H1N1|2014.871|NorthAmerica|,2014.871,-572.6,42.364990689013,2148,2148,43.7150837988827,41.6899441340782
EPI_ISL_368433|Human|H1N1|2014.83|NorthAmerica|,2014.83,-573.3,42.3184357541899,2148,2148,43.7150837988827,41.6201117318436
EPI_ISL_368426|Human|H1N1|2014.83|NorthAmerica|,2014.83,-573.3,42.3184357541899,2148,2148,43.7150837988827,41.6201117318436
EPI_ISL_368465|Human|H1N1|2014.964|NorthAmerica|,2014.964,-572.6,42.364990689013,2148,2148,43.7150837988827,41.6899441340782
EPI_ISL_368464|Human|H1N1|2014.964|NorthAmerica|,2014.964,-573.3,42.3184357541899,2148,2148,43.7150837988827,41.6201117318436
EPI_ISL_368463|Human|H1N1|2014.964|NorthAmerica|,2014.964,-572.6,42.364990689013,2148,2148,43.7150837988827,41.6899441340782
EPI_ISL_368462|Human|H1N1|2014.964|NorthAmerica|,2014.964,-572.6,42.364990689013,2148,2148,43.7150837988827,41.6899441340782
EPI_ISL_368461|Human|H1N1|2014.964|NorthAmerica|,2014.964,-572.6,42.364990689013,2148,2148,43.7150837988827,41.6899441340782
EPI_ISL_368460|Human|H1N1|2014.964|NorthAmerica|,2014.964,-573.3,42.3184357541899,2148,2148,43.7150837988827,41.6201117318436
EPI_ISL_368459|Human|H1N1|2014.964|NorthAmerica|,2014.964,-573.3,42.3184357541899,2148,2148,43.7150837988827,41.6201117318436
EPI_ISL_368458|Human|H1N1|2014.964|NorthAmerica|,2014.964,-571.8,42.2718808193668,2148,2148,43.7150837988827,41.5502793296089
EPI_ISL_368457|Human|H1N1|2014.964|NorthAmerica|,2014.964,-572.4,42.3184357541899,2148,2148,43.7150837988827,41.6201117318436
EPI_ISL_368456|Human|H1N1|2014.964|NorthAmerica|,2014.964,-573.3,42.3184357541899,2148,2148,43.7150837988827,41.6201117318436
EPI_ISL_368455|Human|H1N1|2014.926|NorthAmerica|,2014.926,-572.6,42.364990689013,2148,2148,43.7150837988827,41.6899441340782
