name	clade
A/bar-headed_goose/Qinghai/5/2008|EPI_ISL_27750|A_/_H5N1||2008-06-16	0
A/bar-headed_goose/Qinghai/7/2008|EPI_ISL_27752|A_/_H5N1||2008-07-13	0
A/bar-headed_goose/Qinghai/11/2008|EPI_ISL_27756|A_/_H5N1||2008-08-08	0
A/bar-headed_goose/Qinghai/6/2008|EPI_ISL_27751|A_/_H5N1||2008-06-16	0
A/bar-headed_goose_/Qinghai/14/2008|EPI_ISL_27761|A_/_H5N1||2008-06-16	0
A/bar-headed_goose/Qinghai/13/2008|EPI_ISL_27758|A_/_H5N1||2008-08-09	0
A/bar-headed_goose/Qinghai/1/2008|EPI_ISL_27746|A_/_H5N1||2008-05-24	0
A/bar-headed_goose/Qinghai/2/2008|EPI_ISL_27747|A_/_H5N1||2008-05-24	0
A/bar-headed_goose/Qinghai/10/2008|EPI_ISL_27755|A_/_H5N1||2008-07-13	0
A/bar-headed_goose/Qinghai/4/2008|EPI_ISL_27749|A_/_H5N1||2008-06-25	0
A/bar-headed_goose/Qinghai/3/2008|EPI_ISL_27748|A_/_H5N1||2008-06-12	0
A/environment/Qinghai/1/2008|EPI_ISL_25899|A_/_H5N1||2008-06-12	0
A/plateau_pika/Qinghai/04/2007|EPI_ISL_63586|A_/_H5N1||2007-04-19	0
A/duck/Zhejiang/11/2000|EPI_ISL_3903|A_/_H5N1||2000-01-01	0
A/chicken/Hubei/wl/1997|EPI_ISL_68666|A_/_H5N1||1997-01-01	0
A/chicken/Hubei/wm/1997|EPI_ISL_68667|A_/_H5N1||1997-01-01	0
A/chicken/Hubei/wh/1997|EPI_ISL_68662|A_/_H5N1||1997-01-01	0
A/chicken/Hubei/wn/2003|EPI_ISL_67373|A_/_H5N1||2003-01-01	0
A/swine/Shandong/2/03|EPI_ISL_4138|A_/_H5N1||2003-01-01	0
A/chicken/Shandong/K01/2004|EPI_ISL_10378|A_/_H5N1||2004-01-01	0
A/chicken/Hubei/wf/2002|EPI_ISL_67725|A_/_H5N1||2002-01-01	0
A/chicken/Hubei/wi/1997|EPI_ISL_68663|A_/_H5N1||1997-01-01	0
A/chicken/China/1/02|EPI_ISL_8476|A_/_H5N1||2002-01-01	0
A/goose/Hong_Kong/1032_9/2000|EPI_ISL_68392|A_/_H5N1||2000-01-01	0
A/chicken/Hebei/108/02|EPI_ISL_10007|A_/_H5N1||2002-01-01	0
A/duck/Fujian/01/2002|EPI_ISL_3889|A_/_H5N1||2002-01-01	0
A/duck/Guangxi/12/2003|EPI_ISL_15274|A_/_H5N1||2003-01-01	0
A/duck/Guangxi/27/2003|EPI_ISL_15275|A_/_H5N1||2003-01-01	0
A/Chicken/Hong_Kong/317_5/2001|EPI_ISL_3089|A_/_H5N1||2001-01-01	0
A/Environment/Hong_Kong/437-4/99|EPI_ISL_1459|A_/_H5N1||1999-01-01	0
A/Chicken/Hong_Kong/y385/97|EPI_ISL_1148|A_/_H5N1||1997-01-01	0
A/Chicken/Hong_Kong/y388/97|EPI_ISL_1149|A_/_H5N1||1997-01-01	0
A/environment/Hong_Kong/674_15/2002|EPI_ISL_67755|A_/_H5N1||2002-01-01	0
A/goose/Guangdong/xb/2001|EPI_ISL_68038|A_/_H5N1||2001-11-22	0
A/chicken/Jiande/1218/2001|EPI_ISL_8306|A_/_H5N1||2001-01-01	0
A/duck/Vietnam/8/05|EPI_ISL_10055|A_/_H5N1||2005-01-01	0
A/duck/Viet_Nam/1/2005|EPI_ISL_21032|A_/_H5N1||2005-01-01	0
A/chicken/Hong_Kong/258/97|EPI_ISL_978|A_/_H5N1||1997-01-01	0
A/Goose/Hong_Kong/385_3/2000|EPI_ISL_2079|A_/_H5N1||2000-01-01	0
A/Goose/Hong_Kong/385_5/2000|EPI_ISL_2080|A_/_H5N1||2000-01-01	0
A/goose/Hong_Kong/485_3/2000|EPI_ISL_68393|A_/_H5N1||2000-01-01	0
A/environment/Hong_Kong/486/1997|EPI_ISL_68680|A_/_H5N1||1997-01-01	0
A/Duck/Hong_Kong/p46/97|EPI_ISL_1150|A_/_H5N1||1997-01-01	0
A/Silky_Chicken/Hong_Kong/p17/97|EPI_ISL_1153|A_/_H5N1||1997-01-01	0
A/chicken/zhoukou/2/02/|EPI_ISL_9779|A_/_H5N1||2002-01-01	0
A/chicken/luohuo/3/03/|EPI_ISL_9780|A_/_H5N1||2003-01-01	0
A/Chicken/Hong_Kong/786/97|EPI_ISL_1102|A_/_H5N1||1997-01-01	0
A/chicken/Hong_Kong/786-2/1997|EPI_ISL_68660|A_/_H5N1||1997-01-01	0
