genotype	PB2	PB1	PA	NP	NAseg	MP	NS	x	name	label_name	Newgenotype
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_12474793|Avian|H5N1|2022.29|Europe|A/barnacle_goose/Netherlands/22007405-004/2022	A/barnacle_goose/Netherlands/22007405-004/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_12512879|Avian|H5N1|2022.26|Europe|A/Black-headed_gull/Netherlands/2/2022	A/Black-headed_gull/Netherlands/2/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_12514442|Avian|H5N1|2022.282|Europe|A/Black-headed_gull/Netherlands/4/2022	A/Black-headed_gull/Netherlands/4/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_12474794|Avian|H5N1|2022.274|Europe|A/greylag_goose_/Netherlands/22006859-001/2022	A/greylag_goose_/Netherlands/22006859-001/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_17951052|Feline|H5N1|2023.471|Europe|A/domestic_cat/Poland/H253/2023	A/domestic_cat/Poland/H253/2023_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_12177629|Avian|H5N1|2022.258|Europe|A/black-backed_gull/Netherlands/22006711-001/2022	A/black-backed_gull/Netherlands/22006711-001/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_17949824|Feline|H5N1|2023.468|Europe|A/cat/Poland/Gda1/2023	A/cat/Poland/Gda1/2023_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_16937306|Avian|H5N1|2023.041|Europe|A/swan/Czech_Republic/811-2/2023	A/swan/Czech_Republic/811-2/2023_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15088305|Avian|H5N1|2022.658|Europe|A/Common_Teal/Netherlands/1/2022	A/Common_Teal/Netherlands/1/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_12514425|Avian|H5N1|2022.282|Europe|A/Black-headed_gull/Netherlands/3/2022	A/Black-headed_gull/Netherlands/3/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_16939160|Avian|H5N1|2023.033|Europe|A/chicken/Czech_Republic/872_orig/2023	A/chicken/Czech_Republic/872_orig/2023_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_16956404|Avian|H5N1|2023.03|Europe|A/Common_Buzzard/England/256703/2023	A/Common_Buzzard/England/256703/2023_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_12514483|Avian|H5N1|2022.282|Europe|A/Caspian_Gull/Netherlands/3/2022	A/Caspian_Gull/Netherlands/3/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_16937307|Avian|H5N1|2023.047|Europe|A/domestic_duck/Czech_Republic/951_orig/2023	A/domestic_duck/Czech_Republic/951_orig/2023_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_16937304|Avian|H5N1|2022.937|Europe|A/chicken/Czech_Republic/22968-1/2022	A/chicken/Czech_Republic/22968-1/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_16979810|Avian|H5N1|2022.904|Europe|A/swan/Italy/22VIR12326-1/2022	A/swan/Italy/22VIR12326-1/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13201050|Avian|H5N1|2022.323|Europe|A/Lesser_Black-backed_Gull/Netherlands/1/2022	A/Lesser_Black-backed_Gull/Netherlands/1/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_16979813|Avian|H5N1|2022.915|Europe|A/Eurasian_wigeon/Italy/22VIR12328-1/2022	A/Eurasian_wigeon/Italy/22VIR12328-1/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_16937308|Avian|H5N1|2023.041|Europe|A/mallard/Czech_Republic/1021/2023	A/mallard/Czech_Republic/1021/2023_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13199866|Avian|H5N1|2022.408|Europe|A/sandwich_tern/Netherlands/22010161-001005/2022	A/sandwich_tern/Netherlands/22010161-001005/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15234357|Avian|H5N1|2022.586|Europe|A/Anser_anser/Spain/2753-3_22VIR8632-12/2022	A/Anser_anser/Spain/2753-3_22VIR8632-12/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15234358|Avian|H5N1|2022.605|Europe|A/Anser_anser/Spain/2825-1_22VIR8632-13/2022	A/Anser_anser/Spain/2825-1_22VIR8632-13/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_13199865|Avian|H5N1|2022.411|Europe|A/sandwich_tern/Netherlands/22009980-002/2022	A/sandwich_tern/Netherlands/22009980-002/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15088303|Avian|H5N1|2022.658|Europe|A/Lesser_Black-backed_Gull/Netherlands/3/2022	A/Lesser_Black-backed_Gull/Netherlands/3/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15234362|Avian|H5N1|2022.658|Europe|A/turkey/Spain/2996-42_22VIR8632-22/2022	A/turkey/Spain/2996-42_22VIR8632-22/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15234363|Avian|H5N1|2022.589|Europe|A/turkey/Spain/2755-6_22VIR8632-2/2022	A/turkey/Spain/2755-6_22VIR8632-2/2022_{G1}	G1
G1	2.3.4.4b	2.3.4.4b	2.3.4.4b	2.3.4.4b	N1	2.3.4.4b	2.3.4.4b	633	EPI_ISL_15234360|Avian|H5N1|2022.589|Europe|A/turkey/Spain/2755-5_22VIR8632-1/2022	A/turkey/Spain/2755-5_22VIR8632-1/2022_{G1}	G1
