isolate_id,genotype,collection_time,zoe_genotype,location,profile_lab,PB2,PB1,PA,HA,NP,NA,MP,NS,genotypenew
EPI_ISL_13285539,A1,2022.249,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_13432612,A1,2022.255,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_15004373,A1,2022.255,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_13285246,A1,2022.247,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_15004372,A1,2022.255,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_13431308,A1,2022.255,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_13432611,A1,2022.255,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16171324,A1,2022.296,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16171247,A1,2022.296,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16171248,A1,2022.296,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_13434430,A1,2022.26,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_13433340,A1,2022.255,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16189979,A1,2022.318,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16240404,A1,2022.345,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_13285540,A1,2022.249,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_13434442,A1,2022.26,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16240434,A1,2022.348,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_13432838,A1,2022.255,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_13432849,A1,2022.255,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16240423,A1,2022.337,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16171418,A1,2022.315,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16244028,A1,2022.381,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16632506,A1,2022.332,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_13052432,A1,2022.247,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16171495,A1,2022.332,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_15004380,A1,2022.274,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16240445,A1,2022.348,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16632507,A1,2022.332,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16641798,A1,2022.271,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16243598,A1,2022.364,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16243610,A1,2022.364,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16243231,A1,2022.362,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_13432861,A1,2022.255,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16244009,A1,2022.37,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16102279,A1,2022.293,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16102280,A1,2022.293,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16243958,A1,2022.37,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16240414,A1,2022.337,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16171415,A1,2022.312,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
EPI_ISL_16171417,A1,2022.315,G3,NorthAmerica,A1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,ea1,G8
