EPI_ISL_1211|Human|H1N1|1918|NorthAmerica|seasonal,1918,-462.1,46.9879518072289,1494,1494,45.5823293172691,47.6907630522088
EPI_ISL_69816|Human|H1N1|1933.025|Europe|seasonal,1933.025,-445.3,46.8540829986613,1494,1494,45.1807228915663,47.6907630522088
EPI_ISL_90462|Human|H1N1|1933.414|Europe|,1933.414,-445.3,46.8540829986613,1494,1494,45.1807228915663,47.6907630522088
EPI_ISL_66109|Human|H1N1|1932|Europe|seasonal,1932,-444,46.9210174029451,1494,1494,45.3815261044177,47.6907630522088
EPI_ISL_66108|Human|H1N1|1932|NorthAmerica|seasonal,1932,-432,46.6532797858099,1494,1494,45.3815261044177,47.289156626506
EPI_ISL_69745|Human|H1N1|1933|Europe|seasonal,1933,-432,46.6532797858099,1494,1494,45.3815261044177,47.289156626506
EPI_ISL_69822|Human|H1N1|1933|Europe|seasonal,1933,-432,46.6532797858099,1494,1494,45.3815261044177,47.289156626506
EPI_ISL_147186|Human|H1N1|1935|NorthAmerica|,1935,-442.3,46.7871485943775,1494,1494,44.7791164658635,47.7911646586345
EPI_ISL_69244|Human|H1N1|1945|NorthAmerica|seasonal,1945,-442.1,46.9210174029451,1494,1494,46.7871485943775,46.9879518072289
EPI_ISL_84909|Human|H1N1|1948|NorthAmerica|,1948,-439.6,46.8184862692565,1493,1494,45.9839357429719,47.2361809045226
EPI_ISL_69277|Human|H1N1|1943|NorthAmerica|seasonal,1943,-443.4,46.9879518072289,1494,1494,46.1847389558233,47.3895582329317
EPI_ISL_69245|Human|H1N1|1943|NorthAmerica|seasonal,1943,-437.9,46.8540829986613,1494,1494,46.1847389558233,47.1887550200803
EPI_ISL_5169|Human|H1N1|1947|NorthAmerica|seasonal,1947,-450.2,46.7515070328198,1493,1494,46.1847389558233,47.035175879397
EPI_ISL_147188|Human|H1N1|1947|NorthAmerica|,1947,-455.9,46.7202141900937,1494,1494,46.1847389558233,46.9879518072289
EPI_ISL_6974|Human|H1N1|1954|Asia|seasonal,1954,-441.6,46.6532797858099,1494,1494,46.9879518072289,46.4859437751004
EPI_ISL_66101|Human|H1N1|1954|Asia|seasonal,1954,-441.6,46.6532797858099,1494,1494,46.9879518072289,46.4859437751004
EPI_ISL_143167|Human|H1N1|1954|Asia|,1954,-441.6,46.6532797858099,1494,1494,46.9879518072289,46.4859437751004
EPI_ISL_84910|Human|H1N1|1951|Europe|,1951,-442.4,46.8540829986613,1494,1494,47.3895582329317,46.5863453815261
EPI_ISL_7072|Human|H1N1|1951|NorthAmerica|seasonal,1951,-440.5,46.7202141900937,1494,1494,47.1887550200803,46.4859437751004
EPI_ISL_7093|Human|H1N1|1951|NorthAmerica|seasonal,1951,-440.3,46.8540829986613,1494,1494,47.5903614457831,46.4859437751004
EPI_ISL_7084|Human|H1N1|1951|NorthAmerica|seasonal,1951,-442.4,46.7871485943775,1494,1494,47.3895582329317,46.4859437751004
EPI_ISL_7063|Human|H1N1|1951|NorthAmerica|seasonal,1951,-439.3,46.9210174029451,1494,1494,47.5903614457831,46.5863453815261
EPI_ISL_66094|Human|H1N1|1957|NorthAmerica|seasonal,1957,-434,46.3855421686747,1494,1494,46.3855421686747,46.3855421686747
EPI_ISL_143164|Human|H1N1|1957|NorthAmerica|,1957,-435.3,46.5194109772423,1494,1494,46.5863453815261,46.4859437751004
EPI_ISL_130407|Human|H1N1|1957|Asia|,1957,-434.3,46.5194109772423,1494,1494,46.5863453815261,46.4859437751004
EPI_ISL_84889|Human|H1N1|1953|Europe|,1953,-435.9,46.3855421686747,1494,1494,46.1847389558233,46.4859437751004
EPI_ISL_84886|Human|H1N1|1954|Europe|,1954,-437.3,46.6532797858099,1494,1494,46.9879518072289,46.4859437751004
EPI_ISL_66099|Human|H1N1|1950|NorthAmerica|seasonal,1950,-432.4,46.4524765729585,1494,1494,46.5863453815261,46.3855421686747
EPI_ISL_147187|Human|H1N1|1950|NorthAmerica|,1950,-432.4,46.4524765729585,1494,1494,46.5863453815261,46.3855421686747
EPI_ISL_147189|Human|H1N1|1946|NorthAmerica|,1946,-456,46.8540829986613,1494,1494,46.1847389558233,47.1887550200803
EPI_ISL_69268|Human|H1N1|1939|NorthAmerica|seasonal,1939,-456,46.8540829986613,1494,1494,46.1847389558233,47.1887550200803
EPI_ISL_143169|Human|H1N1|1940|NorthAmerica|,1940,-456,46.8540829986613,1494,1494,46.1847389558233,47.1887550200803
EPI_ISL_66093|Human|H1N1|1946|NorthAmerica|seasonal,1946,-454.6,46.8540829986613,1494,1494,46.3855421686747,47.0883534136546
EPI_ISL_84890|Human|H1N1|1948|Europe|,1948,-439.9,47.0548862115127,1494,1494,46.5863453815261,47.289156626506
EPI_ISL_66092|Human|H1N1|1942|NorthAmerica|seasonal,1942,-444.2,47.1218206157965,1494,1494,47.1887550200803,47.0883534136546
EPI_ISL_143168|Human|H1N1|1942|NorthAmerica|,1942,-439.7,46.8540829986613,1494,1494,46.9879518072289,46.7871485943775
EPI_ISL_66102|Human|H1N1|1934|Oceania|seasonal,1934,-448.8,46.7202141900937,1494,1494,44.9799196787149,47.5903614457831
EPI_ISL_147194|Human|H1N1|1935|Oceania|,1935,-448.8,46.7202141900937,1494,1494,44.9799196787149,47.5903614457831
