-1 1:42.5431 2:16.0523 3:41.0226 4:67.1819 5:35.6718 6:41.9332 7:9.2461 8:41.9630 9:71.8350 10:35.5619 11:47.3226 12:22.1031 13:47.5553 14:77.6959 15:40.8573 16:44.3669 17:27.0144 18:44.2478 19:59.1523 20:47.9739 21:43.9014 22:20.7048 23:40.9692 24:62.1145 25:43.1718 26:43.3465 27:20.6503 28:43.4974 29:59.3146 30:39.5431 31:50.7937 32:30.4636 33:66.2252 34:74.1722 35:55.6291 36:43.6232 37:26.1248 38:44.9927 39:65.3120 40:36.2845
-1 1:42.0677 2:17.8359 3:41.0226 4:65.9929 5:33.8882 6:44.6809 7:19.8722 8:47.5515 9:76.6501 10:44.0028 11:46.9880 12:24.7823 13:44.8761 14:70.9980 15:41.5271 16:44.2272 17:23.7541 18:47.0424 19:62.4127 20:47.0424 21:43.1088 22:19.8238 23:38.3260 24:61.2335 25:42.7313 26:44.8836 27:20.6503 28:46.5729 29:70.7381 30:38.2250 31:50.2646 32:34.4371 33:64.9007 34:72.8477 35:46.3576 36:45.9420 37:23.2221 38:47.8955 39:62.4093 40:42.0900
-1 1:43.1967 2:15.4578 3:40.4281 4:70.7491 5:30.3210 6:44.2553 7:17.7431 8:34.0667 9:73.8112 10:48.9709 11:47.6573 12:25.4521 13:46.2157 14:73.6772 15:34.8292 16:44.4134 17:27.9460 18:47.0424 19:64.2757 20:47.0424 21:44.0460 22:18.6005 23:41.6298 24:62.8875 25:45.1727 26:45.0593 27:23.7258 28:44.3761 29:67.6626 30:42.1793 31:50.3968 32:31.7881 33:68.8742 34:72.8477 35:47.6821 36:46.5217 37:27.5762 38:50.7983 39:60.9579 40:42.0900
-1 1:43.2561 2:15.4578 3:39.2390 4:71.9382 5:30.3210 6:44.1844 7:17.0334 8:36.1959 9:73.8112 10:46.1320 11:47.5234 12:24.1125 13:46.2157 14:72.3376 15:36.8386 16:44.4600 17:28.4117 18:46.5766 19:63.8100 20:47.0424 21:44.1215 22:18.9427 23:41.4097 24:62.9956 25:45.3744 26:45.1032 27:23.7258 28:44.8155 29:68.9807 30:41.7399 31:51.0582 32:33.1126 33:67.5497 34:75.4967 35:46.3576 36:46.0870 37:29.0276 38:49.3469 39:62.4093 40:42.0900
-1 1:41.8301 2:14.2687 3:38.6445 4:64.8038 5:29.7265 6:42.0382 7:15.5807 8:36.1190 9:66.5722 10:43.9093 11:46.5863 12:23.4427 13:48.2251 14:66.9792 15:38.1782 16:44.7552 17:25.6889 18:46.2401 19:59.7851 20:48.5754 21:43.5356 22:18.9177 23:38.7154 24:55.4333 25:44.4347 26:44.9033 27:22.4274 28:44.4151 29:67.7221 30:40.8971 31:51.3228 32:31.7881 33:68.8742 34:76.8212 35:54.3046 36:46.5217 37:27.5762 38:46.4441 39:66.7634 40:42.0900
-1 1:41.8301 2:14.2687 3:38.6445 4:64.8038 5:29.7265 6:42.1090 7:16.2890 8:36.1190 9:66.5722 10:43.9093 11:46.5863 12:23.4427 13:48.2251 14:66.9792 15:38.1782 16:44.7393 17:25.6171 18:46.1109 19:60.0838 20:48.4397 21:43.5356 22:18.9177 23:38.7154 24:55.4333 25:44.4347 26:44.8836 27:22.4077 28:44.3761 29:67.6626 30:40.8612 31:51.4550 32:31.7881 33:68.8742 34:76.8212 35:54.3046 36:46.6667 37:27.5762 38:46.4441 39:66.7634 40:42.0900
-1 1:41.7955 2:14.2857 3:38.6905 4:64.8810 5:29.7619 6:42.1090 7:16.2890 8:36.1190 9:66.5722 10:43.9093 11:46.5863 12:23.4427 13:48.2251 14:66.9792 15:38.1782 16:44.7810 17:25.6650 18:46.1969 19:59.7294 20:48.5301 21:43.4916 22:18.9177 23:38.7154 24:55.4333 25:44.4347 26:44.8836 27:22.4077 28:44.3761 29:67.6626 30:40.8612 31:51.4550 32:31.7881 33:68.8742 34:76.8212 35:54.3046 36:46.6667 37:27.5762 38:46.4441 39:66.7634 40:42.0900
-1 1:42.0083 2:16.0523 3:39.2390 4:61.2366 5:30.9156 6:45.7382 7:22.0868 8:38.8423 9:83.7776 10:45.6969 11:47.1888 12:26.1219 13:46.2157 14:73.0074 15:40.8573 16:44.5996 17:25.6171 18:45.1793 19:62.8784 20:47.9739 21:43.7693 22:18.5022 23:40.5286 24:60.3524 25:43.1718 26:45.1471 27:24.1652 28:43.9367 29:72.0562 30:40.8612 31:50.3968 32:31.7881 33:67.5497 34:75.4967 35:46.3576 36:46.5217 37:24.6734 38:49.3469 39:66.7634 40:43.5414
-1 1:42.0083 2:16.0523 3:39.2390 4:61.2366 5:30.9156 6:45.1064 7:22.0014 8:37.6153 9:80.9084 10:44.7126 11:47.1888 12:26.1219 13:46.2157 14:73.0074 15:40.8573 16:44.5996 17:25.6171 18:45.1793 19:62.8784 20:47.9739 21:43.8133 22:18.5022 23:40.5286 24:60.3524 25:43.1718 26:45.1471 27:24.1652 28:43.9367 29:72.0562 30:40.8612 31:50.3968 32:31.7881 33:67.5497 34:75.4967 35:46.3576 36:46.5217 37:24.6734 38:49.3469 39:66.7634 40:43.5414
-1 1:42.6025 2:18.4304 3:40.4281 4:61.8312 5:32.1046 6:42.7459 7:17.7054 8:39.6601 9:63.0312 10:43.9093 11:47.5904 12:29.4709 13:46.2157 14:70.3282 15:42.8667 16:44.2737 17:25.6171 18:46.1109 19:59.6181 20:48.4397 21:44.1656 22:19.3833 23:40.9692 24:61.6740 25:43.1718 26:45.3228 27:22.8471 28:43.9367 29:70.2988 30:38.6643 31:51.4550 32:33.1126 33:67.5497 34:80.7947 35:54.3046 36:46.9565 37:27.5762 38:49.3469 39:66.7634 40:43.5414
-1 1:42.7213 2:18.4304 3:40.4281 4:63.0202 5:32.1046 6:44.8227 7:21.2917 8:48.2612 9:78.7793 10:41.8737 11:47.4565 12:29.4709 13:46.2157 14:70.3282 15:42.1969 16:44.5065 17:27.9460 18:46.5766 19:60.0838 20:48.4397 21:43.9314 22:21.1175 23:39.1553 24:61.5926 25:43.9947 26:45.1032 27:25.4833 28:43.9367 29:68.9807 30:39.5431 31:51.3228 32:31.7881 33:66.2252 34:80.7947 35:54.3046 36:46.8116 37:27.5762 38:49.3469 39:66.7634 40:43.5414
-1 1:42.6619 2:18.4304 3:39.8335 4:62.4257 5:32.1046 6:44.7518 7:21.2917 8:47.5515 9:78.0696 10:41.8737 11:47.4565 12:29.4709 13:46.2157 14:70.3282 15:42.1969 16:44.5065 17:27.9460 18:46.5766 19:60.0838 20:48.4397 21:43.9314 22:21.1175 23:39.1553 24:61.5926 25:43.9947 26:45.1032 27:25.4833 28:43.9367 29:68.9807 30:39.5431 31:51.3228 32:31.7881 33:66.2252 34:80.7947 35:54.3046 36:46.9565 37:27.5762 38:49.3469 39:66.7634 40:43.5414
-1 1:42.7213 2:18.4304 3:41.6171 4:60.6421 5:33.2937 6:42.7459 7:17.7054 8:38.2436 9:64.4476 10:41.7847 11:47.1888 12:23.4427 13:45.5459 14:75.6865 15:40.1875 16:44.2272 17:23.7541 18:46.1109 19:61.0154 20:49.3712 21:43.9754 22:17.1579 23:40.9151 24:60.2728 25:45.7545 26:45.2789 27:23.7258 28:46.1336 29:70.2988 30:39.5431 31:50.1323 32:31.7881 33:64.9007 34:70.1987 35:50.3311 36:47.1014 37:27.5762 38:44.9927 39:65.3120 40:42.0900
